obs_id,side,source,source_record_id,donor_name,donor_dac_code,donor_iati_id,recipient,sector,sector_raw,flow_stage,instrument,amount_usd,amount_usd_constant,price_base_year,amount_original,currency_original,price_base,year,fiscal_basis,period_start,period_end,status,confidence,dataset_version,dedup_key,is_multilateral_outflow,counts_in_headline,source_url,retrieved_at,notes
b74864dcbb6b8a17,recipient,nepal_dcr,DCR2022_23|AnnexA|GFATM|2012/13,GFATM,,,NPL,,,disbursement,,28241077.0,,,28241077.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|GFATM|2012/13,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
bca4dc219ec54e5f,recipient,nepal_dcr,DCR2022_23|AnnexA|Germany|2012/13,Germany,,,NPL,,,disbursement,,23743866.0,,,23743866.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Germany|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
c11f009515ce6a55,recipient,nepal_dcr,DCR2022_23|AnnexA|India|2012/13,India,,,NPL,,,disbursement,,63813269.0,,,63813269.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|India|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
55f6b0600d7f994a,recipient,nepal_dcr,DCR2022_23|AnnexA|Japan|2012/13,Japan,,,NPL,,,disbursement,,65759647.0,,,65759647.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Japan|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
845d55790140c1bd,recipient,nepal_dcr,DCR2022_23|AnnexA|Korea|2012/13,Korea,,,NPL,,,disbursement,,14247876.0,,,14247876.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Korea|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
a269715018623a4e,recipient,nepal_dcr,DCR2022_23|AnnexA|Netherlands|2012/13,Netherlands,,,NPL,,,disbursement,,1015515.0,,,1015515.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Netherlands|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
d7f82abb83c988c0,recipient,nepal_dcr,DCR2022_23|AnnexA|Norway|2012/13,Norway,,,NPL,,,disbursement,,32823348.0,,,32823348.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Norway|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
f92d4ef1823895d1,recipient,nepal_dcr,DCR2022_23|AnnexA|OFID|2012/13,OFID,,,NPL,,,disbursement,,13214303.0,,,13214303.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|OFID|2012/13,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
21b3b0e894992804,recipient,nepal_dcr,DCR2022_23|AnnexA|Saudi Fund|2012/13,Saudi Fund,,,NPL,,,disbursement,,798696.0,,,798696.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Saudi Fund|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
7069fcfc8bf75340,recipient,nepal_dcr,DCR2022_23|AnnexA|Switzerland|2012/13,Switzerland,,,NPL,,,disbursement,,41767109.0,,,41767109.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Switzerland|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
aaa4c9ccf24ed34b,recipient,nepal_dcr,DCR2022_23|AnnexA|UN|2012/13,UN,,,NPL,,,disbursement,,68661608.0,,,68661608.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|UN|2012/13,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
ef6561d11d2b9ff5,recipient,nepal_dcr,DCR2022_23|AnnexA|USAID|2012/13,USAID,,,NPL,,,disbursement,,67196696.0,,,67196696.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|USAID|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
aeee0f349cca8365,recipient,nepal_dcr,DCR2022_23|AnnexA|United Kingdom|2012/13,United Kingdom,,,NPL,,,disbursement,,89989120.0,,,89989120.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|United Kingdom|2012/13,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
d4607e56273bb081,recipient,nepal_dcr,DCR2022_23|AnnexA|World Bank Group|2012/13,World Bank Group,,,NPL,,,disbursement,,231404440.0,,,231404440.0,USD,current,2012,nepal_fy,2012-07-16,2013-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|World Bank Group|2012/13,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2012/13"
75779acbdd6863ed,recipient,nepal_dcr,DCR2022_23|AnnexA|ADB|2013/14,ADB,,,NPL,,,disbursement,,155553208.0,,,155553208.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|ADB|2013/14,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
2cb5e1660e867801,recipient,nepal_dcr,DCR2022_23|AnnexA|Australia|2013/14,Australia,,,NPL,,,disbursement,,30237087.0,,,30237087.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Australia|2013/14,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
c68ae9b0d5234d73,recipient,nepal_dcr,DCR2022_23|AnnexA|China|2013/14,China,,,NPL,,,disbursement,,41381522.0,,,41381522.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|China|2013/14,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
98e330b600d385ec,recipient,nepal_dcr,DCR2022_23|AnnexA|Denmark|2013/14,Denmark,,,NPL,,,disbursement,,31368778.0,,,31368778.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Denmark|2013/14,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
db0bf63c56d9b620,recipient,nepal_dcr,DCR2022_23|AnnexA|European Union|2013/14,European Union,,,NPL,,,disbursement,,51618780.0,,,51618780.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|European Union|2013/14,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
2e296c6ef0fd959a,recipient,nepal_dcr,DCR2022_23|AnnexA|Finland|2013/14,Finland,,,NPL,,,disbursement,,19419234.0,,,19419234.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Finland|2013/14,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
7e7412631c212aa1,recipient,nepal_dcr,DCR2022_23|AnnexA|GAVI|2013/14,GAVI,,,NPL,,,disbursement,,1928093.0,,,1928093.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|GAVI|2013/14,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
9a8899acb58ea5ed,recipient,nepal_dcr,DCR2022_23|AnnexA|GFATM|2013/14,GFATM,,,NPL,,,disbursement,,11287214.0,,,11287214.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|GFATM|2013/14,True,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
1fba0cb509a55907,recipient,nepal_dcr,DCR2022_23|AnnexA|Germany|2013/14,Germany,,,NPL,,,disbursement,,26458910.0,,,26458910.0,USD,current,2013,nepal_fy,2013-07-16,2014-07-15,REPORTED,low,2026-06-03.1,DCR2022_23|AnnexA|Germany|2013/14,False,True,https://giwmscdntwo.gov.np/media/pdf_upload/DCR%20Report%202022_23_pt2fped.pdf,2026-06-03T16:40:43Z,"DCR 2022/23 Annex A (Development Partner Disbursements, FY2010/11-2022/23), p125; recipient-reported; FY 2013/14"
