source,sector,year,flow_stage,amount_usd
oecd_crs,budget_support,2019,disbursement,1707993.0
oecd_crs,budget_support,2020,commitment,437085868.0
oecd_crs,budget_support,2020,disbursement,437897047.0
oecd_crs,budget_support,2021,commitment,123001.0
oecd_crs,budget_support,2021,disbursement,885087.0
oecd_crs,budget_support,2022,commitment,76087114.0
oecd_crs,budget_support,2022,disbursement,76914120.0
oecd_crs,budget_support,2023,commitment,209223910.0
oecd_crs,budget_support,2023,disbursement,209223910.0
oecd_crs,budget_support,2024,commitment,183366520.0
oecd_crs,budget_support,2024,disbursement,83366520.0
oecd_crs,business,2015,commitment,6161509.0
oecd_crs,business,2015,disbursement,4559322.0
oecd_crs,business,2016,commitment,5102921.0
oecd_crs,business,2016,disbursement,3980364.0
oecd_crs,business,2017,commitment,211719.0
oecd_crs,business,2017,disbursement,3733396.0
oecd_crs,business,2018,commitment,2529046.0
oecd_crs,business,2018,disbursement,2772102.0
oecd_crs,business,2019,commitment,15906959.0
oecd_crs,business,2019,disbursement,5235146.0
oecd_crs,business,2020,commitment,11411977.0
oecd_crs,business,2020,disbursement,10979748.0
oecd_crs,business,2021,commitment,7569847.0
oecd_crs,business,2021,disbursement,7474436.0
oecd_crs,business,2022,commitment,14100520.0
oecd_crs,business,2022,disbursement,7709591.0
oecd_crs,business,2023,commitment,6723159.0
oecd_crs,business,2023,disbursement,10315862.0
oecd_crs,business,2024,commitment,34195434.0
oecd_crs,business,2024,disbursement,25154818.0
oecd_crs,communications,2015,commitment,710828.0
oecd_crs,communications,2015,disbursement,6012462.0
oecd_crs,communications,2016,commitment,1024378.0
oecd_crs,communications,2016,disbursement,3280460.0
oecd_crs,communications,2017,commitment,629633.0
oecd_crs,communications,2017,disbursement,5802536.0
oecd_crs,communications,2018,commitment,2797746.0
oecd_crs,communications,2018,disbursement,3568367.0
oecd_crs,communications,2019,commitment,566036.0
oecd_crs,communications,2019,disbursement,14946558.0
oecd_crs,communications,2020,commitment,1056297.0
oecd_crs,communications,2020,disbursement,1258215.0
oecd_crs,communications,2021,commitment,71572.0
oecd_crs,communications,2021,disbursement,156612.0
oecd_crs,communications,2022,commitment,151281648.0
oecd_crs,communications,2022,disbursement,272568.0
oecd_crs,communications,2023,commitment,327204.0
oecd_crs,communications,2023,disbursement,459914.0
oecd_crs,communications,2024,commitment,662479.0
oecd_crs,communications,2024,disbursement,3551266.0
oecd_crs,debt,2015,commitment,22185.0
oecd_crs,debt,2015,disbursement,343871.0
oecd_crs,debt,2016,commitment,11058.0
oecd_crs,debt,2016,disbursement,276457.0
oecd_crs,debt,2017,commitment,11273.0
oecd_crs,debt,2017,disbursement,236727.0
oecd_crs,debt,2018,disbursement,118022.0
oecd_crs,debt,2020,disbursement,17876226.0
oecd_crs,debt,2021,disbursement,14260000.0
oecd_crs,education,2015,commitment,290068221.0
oecd_crs,education,2015,disbursement,137363278.0
oecd_crs,education,2016,commitment,283504067.0
oecd_crs,education,2016,disbursement,127877875.0
oecd_crs,education,2017,commitment,290483358.0
oecd_crs,education,2017,disbursement,149204612.0
oecd_crs,education,2018,commitment,228973635.0
oecd_crs,education,2018,disbursement,204512973.0
oecd_crs,education,2019,commitment,78028775.0
oecd_crs,education,2019,disbursement,190497566.0
oecd_crs,education,2020,commitment,109999321.0
oecd_crs,education,2020,disbursement,249781981.0
oecd_crs,education,2021,commitment,211958815.0
oecd_crs,education,2021,disbursement,230017835.0
oecd_crs,education,2022,commitment,337367546.0
oecd_crs,education,2022,disbursement,180375467.0
oecd_crs,education,2023,commitment,203533465.0
oecd_crs,education,2023,disbursement,192279396.0
oecd_crs,education,2024,commitment,78009656.0
oecd_crs,education,2024,disbursement,155371398.0
oecd_crs,energy,2015,commitment,44207865.0
oecd_crs,energy,2015,disbursement,71265181.0
