DATAFLOW,DONOR: Donor,RECIPIENT: Recipient,MEASURE: Measure,UNIT_MEASURE: Unit of measure,PRICE_BASE: Price base,TIME_PERIOD: Time period,OBS_VALUE,BASE_PER: Base period,UNIT_MULT: Unit multiplier,FLOW_TYPE: Flow type,OBS_STATUS: Observation status
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1628: Wellcome Trust,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2017,0.508944,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1618: David and Lucile Packard Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,0.306547,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1637: Arcadia,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,1.145851,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1615: Children's Investment Fund Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,0.160151,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1638: Margaret A. Cargill Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,5.855053,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1605: MetLife Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,0.027381,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1624: William and Flora Hewlett Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,1.10357,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PLG0: Postcode Lottery Group,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,0.562514,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PLG0_SE: Swedish Postcode Lottery,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,0.562514,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1614: Charity Projects Ltd (Comic Relief),NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,1.093697,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1627: Ford Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2018,0.533671,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1618: David and Lucile Packard Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.449898,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1643: Open Society Foundations,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.204965,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1628: Wellcome Trust,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,1.704537,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1627: Ford Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.103302,2024,6: Millions,D: Disbursements,A: Normal value
OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.5),9PRIV1639: La Caixa Banking Foundation,NPL: Nepal,"250: ODA, total net excluding debt relief",USD: US dollar,Q: Constant prices,2023,0.037266,2024,6: Millions,D: Disbursements,A: Normal value
